,Year,Q,Quarter,Day of Week,Gross USD,key,Benchmark,% of Benchmark
59,2017,Q2,2017 Q2,Saturday ,436584.0,Q2_Saturday ,532431.3333333334,82.0
60,2017,Q2,2017 Q2,Sunday   ,294461.0,Q2_Sunday   ,275642.3333333333,106.83
61,2017,Q2,2017 Q2,Thursday ,72518.0,Q2_Thursday ,336029.0,21.58
62,2017,Q2,2017 Q2,Tuesday  ,191376.6667,Q2_Tuesday  ,143075.8889,133.76
63,2017,Q2,2017 Q2,Wednesday,344932.6667,Q2_Wednesday,300892.55556666665,114.64
64,2017,Q3,2017 Q3,Friday   ,898526.5,Q3_Friday   ,737153.8333333334,121.89
65,2017,Q3,2017 Q3,Monday   ,84108.0,Q3_Monday   ,159227.0,52.82
66,2017,Q3,2017 Q3,Saturday ,715036.0,Q3_Saturday ,430032.5,166.27
67,2017,Q3,2017 Q3,Thursday ,505730.5,Q3_Thursday ,487754.1666666667,103.69
68,2017,Q3,2017 Q3,Tuesday  ,125405.0,Q3_Tuesday  ,225165.33333333334,55.69
69,2017,Q3,2017 Q3,Wednesday,397779.0,Q3_Wednesday,331884.0,119.85
70,2017,Q4,2017 Q4,Friday   ,902816.5,Q4_Friday   ,873419.3333333334,103.37
71,2017,Q4,2017 Q4,Monday   ,395223.0,Q4_Monday   ,454319.6666666667,86.99
72,2017,Q4,2017 Q4,Saturday ,983835.0,Q4_Saturday ,1005740.3333333334,97.82
73,2017,Q4,2017 Q4,Sunday   ,582551.5,Q4_Sunday   ,413564.3333333333,140.86
74,2017,Q4,2017 Q4,Thursday ,611897.0,Q4_Thursday ,591525.6666666666,103.44
75,2017,Q4,2017 Q4,Tuesday  ,51193.0,Q4_Tuesday  ,185055.33333333334,27.66
76,2017,Q4,2017 Q4,Wednesday,396211.0,Q4_Wednesday,506189.0,78.27
77,2018,Q1,2018 Q1,Friday   ,291859.0,Q1_Friday   ,440469.5,66.26
78,2018,Q1,2018 Q1,Monday   ,276793.0,Q1_Monday   ,274147.44443333335,100.97
79,2018,Q1,2018 Q1,Saturday ,589310.0,Q1_Saturday ,549214.5,107.3
80,2018,Q1,2018 Q1,Sunday   ,234223.0,Q1_Sunday   ,250339.0,93.56
81,2018,Q1,2018 Q1,Thursday ,169873.0,Q1_Thursday ,239358.66666666666,70.97
82,2018,Q1,2018 Q1,Tuesday  ,397258.0,Q1_Tuesday  ,259529.1111,153.07
83,2018,Q1,2018 Q1,Wednesday,497557.0,Q1_Wednesday,358058.77776666667,138.96
84,2018,Q2,2018 Q2,Friday   ,529844.0,Q2_Friday   ,506786.6666666667,104.55
85,2018,Q2,2018 Q2,Monday   ,221996.0,Q2_Monday   ,205866.55556666665,107.83
86,2018,Q2,2018 Q2,Saturday ,481037.0,Q2_Saturday ,532431.3333333334,90.35
87,2018,Q2,2018 Q2,Sunday   ,192146.0,Q2_Sunday   ,275642.3333333333,69.71
88,2018,Q2,2018 Q2,Thursday ,653691.0,Q2_Thursday ,336029.0,194.53
89,2018,Q2,2018 Q2,Tuesday  ,57251.0,Q2_Tuesday  ,143075.8889,40.01
90,2018,Q2,2018 Q2,Wednesday,78825.0,Q2_Wednesday,300892.55556666665,26.2
91,2018,Q3,2018 Q3,Friday   ,934323.5,Q3_Friday   ,737153.8333333334,126.75
92,2018,Q3,2018 Q3,Monday   ,306581.0,Q3_Monday   ,159227.0,192.54
93,2018,Q3,2018 Q3,Saturday ,268661.5,Q3_Saturday ,430032.5,62.47
94,2018,Q3,2018 Q3,Sunday   ,113133.5,Q3_Sunday   ,113133.5,100.0
95,2018,Q3,2018 Q3,Thursday ,494100.5,Q3_Thursday ,487754.1666666667,101.3
96,2018,Q3,2018 Q3,Tuesday  ,408823.0,Q3_Tuesday  ,225165.33333333334,181.57
97,2018,Q3,2018 Q3,Wednesday,272044.0,Q3_Wednesday,331884.0,81.97
98,2018,Q4,2018 Q4,Friday   ,942039.0,Q4_Friday   ,873419.3333333334,107.86
99,2018,Q4,2018 Q4,Monday   ,559229.0,Q4_Monday   ,454319.6666666667,123.09
100,2018,Q4,2018 Q4,Saturday ,849612.0,Q4_Saturday ,1005740.3333333334,84.48
101,2018,Q4,2018 Q4,Sunday   ,344239.0,Q4_Sunday   ,413564.3333333333,83.24
102,2018,Q4,2018 Q4,Thursday ,688644.0,Q4_Thursday ,591525.6666666666,116.42
103,2018,Q4,2018 Q4,Tuesday  ,361281.0,Q4_Tuesday  ,185055.33333333334,195.23
