Start Date,End Date,Num Shows,Headliner,Support,Tickets Sold,Gross USD,Gross Gate,Currency,Venue Capacity,Percentage Sold,Ticket Price Min,Ticket Price Max,Venue Name,Venue City,Venue State,Venue Country,Promoter
4/16/2010,4/16/2010,1,Hot Chip,The xx,2800,82600,82600,US DOLLAR,2800,100,30,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/14/2010,4/15/2010,2,Atoms For Peace,Flying Lotus,5600,280000,280000,US DOLLAR,2800,100,50,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/13/2010,4/13/2010,1,Spoon,"Deerhunter, Micachu",2800,89600,89600,US DOLLAR,2800,100,32,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
4/10/2010,4/10/2010,1,Train,Butch Walker,2800,105000,105000,US DOLLAR,2800,100,38,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/26/2010,3/26/2010,1,Air,AM,2581,97078,97078,US DOLLAR,2800,93,38,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/24/2010,3/24/2010,1,Metric,"Codeine Velvet Club, Nico Vega",2800,70000,70000,US DOLLAR,2800,100,25,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/9/2010,3/9/2010,1,Zac Brown Band,"Joey + Rory, Nic Cowan",2640,104356,104356,US DOLLAR,2800,95,40,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
3/5/2010,3/5/2010,1,Tegan and Sara,"Holly Miranda, Steel Train",2800,98000,98000,US DOLLAR,2800,100,35,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/27/2010,2/27/2010,1,"""Noise Pop Festival""","Mark Eitzel, The Magnetic Fields",1852,60190,60190,US DOLLAR,1852,100,32.5,0,Fox Theater,Oakland,CA,United States,"Another Planet Entertainment, Noise Pop, Noise Pop Industries"
2/26/2010,,1,Lalah Hathaway,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
2/25/2010,,1,311,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
2/23/2010,2/23/2010,1,"""Noise Pop Festival""","Deerhoof, Yoko Ono Plastic Ono Band",1612,63723,63723,US DOLLAR,1793,90,39.5,40,Fox Theater,Oakland,CA,United States,"Another Planet Entertainment, Noise Pop, Noise Pop Industries"
2/20/2010,2/20/2010,1,"""Ragga Muffins Festival""","Barrington Levy, Capleton, Cocoa Tea, Gregory Isaacs, Sister I-Live, Tarrus Riley",2760,109958,109958,US DOLLAR,2800,99,35,45,Fox Theater,Oakland,CA,United States,"Another Planet Entertainment, Moss Jacobs Presents"
2/19/2010,2/19/2010,1,Erykah Badu,Goapele,2800,143880,143880,US DOLLAR,2800,100,49.5,69.5,Fox Theater,Oakland,CA,United States,"Ankh Marketing, Another Planet Entertainment"
2/13/2010,2/13/2010,1,STS9 (Sound Tribe Sector 9),Nalepa ,2025,56353,56353,US DOLLAR,2800,73,27.5,30,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2/11/2010,2/11/2010,1,Alice In Chains,Creature With The Atom Brain,2800,111355,111355,US DOLLAR,2800,100,39.5,40,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
1/22/2010,1/23/2010,2," ""A Tribute To Norton Buffalo""","Bonnie Raitt, Charlie Musselwhite, Doobie Brothers, Elvin Bishop, George Thorogood &amp; The Destroyers, Huey Lewis, Roy Rogers",5600,430000,430000,US DOLLAR,2800,100,50,125,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
1/16/2010,,1,The Temptations Review Feat. Dennis Edwards,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
12/31/2009,,1,Brett Dennen,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
12/6/2009,,1,Imagination Movers,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
11/23/2009,11/23/2009,1,Wolfmother,"Heartless Bastards, Thenewno2",2273,67053,67053,US DOLLAR,2800,82,29.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
11/21/2009,11/21/2009,1,Café Tacuba,DJ Nica,2330,91203,91203,US DOLLAR,2800,84,35.5,39.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
11/20/2009,11/20/2009,1,Stone Temple Pilots,The Police Experience - Trib. to The Police,2221,116788,116788,US DOLLAR,2800,80,52.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
11/19/2009,11/19/2009,1,Them Crooked Vultures,,2800,138600,138600,US DOLLAR,2800,100,49.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
11/18/2009,11/18/2009,1,Raphael Saadiq,"Anjulie, Melanie Fiona",1582,62564,62564,US DOLLAR,1800,88,39.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
11/14/2009,,1,Widespread Panic,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
11/13/2009,,1,Widespread Panic,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
11/12/2009,,1,Widespread Panic,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
11/8/2009,11/10/2009,3,Pixies,Black Gold,8400,408450,408450,US DOLLAR,2800,100,49.5,64.5,Fox Theater,Oakland,CA,United States,
11/6/2009,11/6/2009,1,Dropkick Murphys,"The Flatliners, The Insurgence, Youth Brigade",2184,52397,52397,US DOLLAR,2800,78,25.5,29.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
11/5/2009,,1,Puscifer,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
11/4/2009,,1,Puscifer,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
10/30/2009,10/30/2009,1,Regina Spektor,Jupiter One,2800,104870,104870,US DOLLAR,2800,100,37.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
10/24/2009,10/24/2009,1,Mika,Gary Go,2417,71322,71322,US DOLLAR,2800,87,29.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
10/22/2009,10/22/2009,1,Echo & The Bunnymen,She Wants Revenge,2138,91010,91010,US DOLLAR,2800,77,42.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
10/20/2009,,1,Stone Temple Pilots,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
