Start Date,Num Shows,Headliner,Support,Tickets Sold,Gross USD,Gross Gate,Currency,Venue Capacity,Percentage Sold,Ticket Price Min,Ticket Price Max,Venue Name,Venue City,Venue State,Venue Country,Promoter
2009-05-13,2,The Allman Brothers Band,Warren Haynes,2800.0,163800.0,327600.0,US DOLLAR,2800.0,100.0,58.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-05-16,1,M. Ward,Richmond Fontaine,2209.0,65165.0,65165.0,US DOLLAR,2800.0,79.0,29.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-05-17,1,Ben Folds,The Unthanks,1753.0,58643.0,58643.0,US DOLLAR,1900.0,93.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-05-19,1,John Vanderslice,,279.0,4464.0,4464.0,US DOLLAR,300.0,93.0,16.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-05-20,1,The Decemberists,Other Lives,2800.0,98000.0,98000.0,US DOLLAR,2800.0,100.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-05-22,1,TV On The Radio,Dirty Projectors,2800.0,84000.0,84000.0,US DOLLAR,2800.0,100.0,30.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-05-26,1,Animal Collective,Grouper,2800.0,71400.0,71400.0,US DOLLAR,2800.0,100.0,25.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-07-24,1,Of Montreal,Jon Brion,2430.0,66825.0,66825.0,US DOLLAR,2800.0,87.0,27.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2009-07-25,1,"""Lebowski Fest""",,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2009-07-26,1,Mint Condition,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
